CNPJ_Fundo;Data_Referencia;Versao;Data_Informacao_Numero_Cotistas;Total_Numero_Cotistas;Numero_Cotistas_Pessoa_Fisica;Numero_Cotistas_Pessoa_Juridica_Nao_Financeira;Numero_Cotistas_Banco_Comercial;Numero_Cotistas_Corretora_Distribuidora;Numero_Cotistas_Outras_Pessoas_Juridicas_Financeira;Numero_Cotistas_Investidores_Nao_Residentes;Numero_Cotistas_Entidade_Aberta_Previdencia_Complementar;Numero_Cotistas_Entidade_Fechada_Previdência_Complementar;Numero_Cotistas_Regime_Proprio_Previdencia_Servidores_Publicos;Numero_Cotistas_Sociedade_Seguradora_Resseguradora;Numero_Cotistas_Sociedade_Capitalizacao_Arrendamento_Mercantil;Numero_Cotistas_FII;Numero_Cotistas_Outros_Fundos;Numero_Cotistas_Distribuidores_Fundo;Numero_Cotistas_Outros_Tipos;Valor_Ativo;Patrimonio_Liquido;Cotas_Emitidas;Valor_Patrimonial_Cotas;Percentual_Despesas_Taxa_Administracao;Percentual_Despesas_Agente_Custodiante;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Rentabilidade_Patrimonial_Mes;Percentual_Dividend_Yield_Mes;Percentual_Amortizacao_Cotas_Mes
05.437.916/0001-27;2022-04-01;1;2022-04-29;2601;;;;;;;;;;;;;;;;122495932.4;120022021.77;383936;312.609449934364;0.000385;0;0.006051;0.000196;0.005855;
05.437.916/0001-27;2022-05-01;1;2022-05-31;2578;;;;;;;;;;;;;;;;122746817.33;120082868.33;383936;312.767930931197;0.000384;0;0.005945;0.000507;0.005438;
05.437.916/0001-27;2022-06-01;1;2022-06-30;2588;2574;13;;;;1;;;;;;;;;;122755958.01;119980004.32;383936;312.500011251875;0.000426;0;0.004738;-0.000857;0.005595;
05.437.916/0001-27;2022-07-01;1;2022-07-31;2590;;;;;;;;;;;;;;;;122695514.66;119976841.02;383936;312.49177211827;0.000426;0;0.005574;-2.6E-05;0.0056;
05.437.916/0001-27;2022-08-01;1;2022-08-31;2585;;;;;;;;;;;;;;;;122671606.76;119914740.35;383936;312.330024665569;0.000426;0;0.005082;-0.000518;0.0056;
05.562.312/0001-02;2022-01-01;1;2022-01-31;3126;3062;58;0;0;0;0;0;0;0;0;0;0;2;0;4;334233903.94;327197260.7;104800;3122.111266;0.000199;0;-0.004317;-0.003029;-0.001288;0
05.562.312/0001-02;2022-02-01;1;2022-02-25;3085;3021;58;0;0;0;0;0;0;0;0;0;0;2;0;4;326246127.1;326071128.41;104800;3111.365729;0.000199;0;-0.026049;-0.003442;-0.022607;0
05.562.312/0001-02;2022-03-01;1;2022-03-31;3027;2963;58;0;0;0;0;0;0;0;0;0;0;2;0;4;325519681.45;325344682.76;104800;3104.433996;0.0002;0;-0.002686;-0.002228;-0.000458;0
05.562.312/0001-02;2022-04-01;1;2022-04-29;3001;2938;57;0;0;0;0;0;0;0;0;0;0;2;0;4;324193633.87;324037730.34;104800;3091.963076;0.00023;0;-0.006326;-0.004017;-0.002309;0
05.562.312/0001-02;2022-05-01;1;2022-05-31;2960;2897;57;0;0;0;0;0;0;0;0;0;0;2;0;4;323339503.78;323034242.95;104800;3082.387814;0.000231;0;-0.004464;-0.003097;-0.001367;0
05.562.312/0001-02;2022-06-01;1;2022-06-30;2934;2870;58;0;0;0;0;0;0;0;0;0;0;2;0;4;322350683.21;322048422.38;104800;3072.98113;0.000232;0;-0.004327;-0.003052;-0.001275;0
